Rank,Player,Team,Goals scored,Matches played,Goals per match [nb 1],Tournaments,Notes
1,Miroslav Klose♦,Germany,16,24,0.67,"2002, 2006, 2010, 2014†",list[10]
2,Ronaldo♦,Brazil,15,19,0.79,"[1994]†, 1998, 2002†, 2006",list[11]
3,Gerd Müller,West Germany,14,13,1.08,"1970, 1974†",list[12]
4,Lionel Messi♦#,Argentina,13,26,0.5,"2006, (2010), 2014, 2018, 2022†",list[13][14]
4,Just Fontaine♦,France,13,6,2.17,1958,list[15]
6,Pelé,Brazil,12,14,0.86,"1958†, 1962†, 1966, 1970†",list[16]
6,Kylian Mbappé#,France,12,14,0.86,"2018†, 2022",list
8,Sándor Kocsis♦,Hungary,11,5,2.2,1954,list[17]
8,Jürgen Klinsmann,West Germany  Germany,11,17,0.65,"1990†  1994, 1998",list[18]
10,Helmut Rahn,West Germany,10,10,1.0,"1954†, 1958",list[19]
10,Gary Lineker♦,England,10,12,0.83,"1986, 1990",list[20]
10,Gabriel Batistuta,Argentina,10,12,0.83,"1994, 1998, 2002",list[21]
10,Teófilo Cubillas♦,Peru,10,13,0.77,"1970, 1978, (1982)",list[22]
10,Thomas Müller,Germany,10,19,0.53,"2010, 2014†, (2018), (2022)",list[broken anchor][23][24]
10,Grzegorz Lato♦,Poland,10,20,0.5,"1974, 1978, 1982",list[25]
16,Ademir,Brazil,9,6,1.5,1950,list[nb 2][28]
16,Eusébio♦,Portugal,9,6,1.5,1966,list[29]
16,Christian Vieri♦,Italy,9,9,1.0,"1998, 2002",list[30]
16,Vavá,Brazil,9,10,0.9,"1958†, 1962†",[31]
16,David Villa♦,Spain,9,12,0.75,"2006, 2010†, 2014",list[32]
16,Paolo Rossi♦,Italy,9,14,0.64,"1978, 1982†, [1986]",list[33]
16,Jairzinho,Brazil,9,16,0.56,"(1966), 1970†, 1974",list[34]
16,Roberto Baggio♦,Italy,9,16,0.56,"1990, 1994, 1998",list[35]
16,Karl-Heinz Rummenigge,West Germany,9,19,0.47,"1978, 1982, 1986",list[36]
16,Uwe Seeler,West Germany,9,21,0.43,"1958, 1962, 1966, 1970",[37]
26,Guillermo Stábile,Argentina,8,4,2.0,1930,list[38]
26,Leônidas,Brazil,8,5,1.6,"1934, 1938",list[nb 3][40]
26,Óscar Míguez♦,Uruguay,8,7,1.14,"1950†, 1954",[41]
26,Harry Kane#,England,8,11,0.73,"2018, 2022",list[42]
26,Neymar#,Brazil,8,13,0.62,"2014, 2018, 2022",list[13][43]
26,Rivaldo,Brazil,8,14,0.57,"1998, 2002†",list[44]
26,Rudi Völler,West Germany  Germany,8,15,0.53,"1986, 1990† 1994",list[45]
26,Diego Maradona,Argentina,8,21,0.38,"1982, 1986†, (1990), 1994",list[46]
26,Cristiano Ronaldo#,Portugal,8,22,0.36,"2006, 2010, 2014, 2018, 2022",list[13][47]
35,Oldřich Nejedlý♦,Czechoslovakia,7,6,1.17,"1934, 1938",[nb 4][48]
35,Lajos Tichy,Hungary,7,8,0.88,"1958, 1962, [1966]",list[49]
35,Careca,Brazil,7,9,0.78,"1986, 1990",[50]
35,Johnny Rep♦,Netherlands,7,13,0.54,"1974, 1978",[51]
35,Andrzej Szarmach,Poland,7,13,0.54,"1974, 1978, 1982",[52]
35,Hans Schäfer,West Germany,7,15,0.47,"1954†, 1958, (1962)",[53]
35,Luis Suárez,Uruguay,7,16,0.44,"2010, 2014, 2018, (2022)",list[54][13]
42,Josef Hügi♦,Switzerland,6,3,2.0,1954,[55]
42,Oleg Salenko♦,Russia,6,3,2.0,1994,list[56]
42,György Sárosi,Hungary,6,5,1.2,"1934, 1938",[57]
42,Max Morlock,West Germany,6,5,1.2,1954†,[58]
42,Erich Probst♦,Austria,6,5,1.2,1954,[59]
42,Enner Valencia♦#,Ecuador,6,6,1.0,"2014, 2022",list
42,Salvatore Schillaci,Italy,6,7,0.86,1990,list[60]
42,Davor Šuker♦,Yugoslavia  Croatia,6,8,0.75,"[1990], 1998, (2002)",list[61]
